auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn,threshold_method,quantile,seed,n_estimators,max_samples,val_size,fit_size
0.967971581453541,0.0023293316609926534,0.00019093499397820402,0.0003529395794589165,0.009038652903066616,0.15870760974393167,13,5568,610453,68073,benign-q0.99,0.99,3,500,auto,100000,500000
0.967971581453541,0.002152521525215252,0.00010281115060364833,0.0001962488435336006,0.005267677562940224,0.17478706757098816,7,3245,612776,68079,benign-q0.995,0.995,3,500,auto,100000,500000
0.967971581453541,0.0026609898882384245,7.343653614546309e-05,0.0001429286071607232,0.0030421040841140156,0.20006670740246701,5,1874,614147,68081,benign-q0.9975,0.9975,3,500,auto,100000,500000
0.967971581453541,0.005042016806722689,4.4061921687277854e-05,8.736040535228084e-05,0.0009610061994639793,0.2110493762282296,3,592,615429,68083,benign-q0.999,0.999,3,500,auto,100000,500000
0.9975432320340275,0.9780865616737556,0.9997209411626472,0.9887854268655849,0.0024755649563894737,0.1278501884945007,68067,1525,614496,19,label-tuned upper bound,,4,200,0.5,100000,500000
0.9975432320340275,0.8309513638860072,0.9999706253855418,0.9076595943234613,0.022484623089147934,0.04503193938913841,68084,13851,602170,2,benign-q0.99,0.99,4,200,0.5,100000,500000
0.9975432320340275,0.9264561785519869,0.9998531269277091,0.9617563539267904,0.008772428212674568,0.08358872669935113,68076,5404,610617,10,benign-q0.995,0.995,4,200,0.5,100000,500000
0.9975432320340275,0.9691326385329461,0.9997356284698763,0.9841962956001215,0.0035193605412802485,0.11447131899232034,68068,2168,613853,18,benign-q0.9975,0.9975,4,200,0.5,100000,500000
0.9975432320340275,0.0028142589118198874,4.4061921687277854e-05,8.676538639518741e-05,0.001725590523699679,0.14246132206408602,3,1063,614958,68083,benign-q0.999,0.999,4,200,0.5,100000,500000
0.8874633731710073,0.4951635660155057,0.9999706253855418,0.6623472643785508,0.11268122352971734,0.09697439552423082,68084,69414,546607,2,label-tuned upper bound,,4,200,auto,100000,500000
0.8874633731710073,0.001103230890464933,0.00010281115060364833,0.00018809367064798272,0.010288610290882941,0.1423125006737409,7,6338,609683,68079,benign-q0.99,0.99,4,200,auto,100000,500000
0.8874633731710073,0.0016731734523145567,8.812384337455571e-05,0.00016742940060274583,0.0058114901927044695,0.14884475694626975,6,3580,612441,68080,benign-q0.995,0.995,4,200,auto,100000,500000
