dataset,seed,bootstrap,f1_minus_magic_cited,fpr_minus_magic_cited,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
trace,3,54,-0.033399099985937264,0.008366265474887905,0.9902363202474306,0.9188244660036972,0.9997944471362081,0.9576009000140627,0.009766265474887905,0.08887801218370184,68095,6016,609982,14
trace,3,55,-0.035498894568600114,0.008829813805704939,0.9897726857963831,0.914991167388109,0.9997642517202258,0.9555011054313999,0.01022981380570494,0.08887801218370184,67853,6304,609934,16
trace,3,56,-0.03459560037951992,0.008644622928945817,0.9899573730178689,0.9166363550633849,0.9997795932761255,0.9564043996204801,0.010044622928945817,0.08887801218370184,68041,6188,609863,15
trace,3,57,-0.03414635175031633,0.008549077733967278,0.9900543107389814,0.9173877881116054,0.9998677831643896,0.9568536482496837,0.009949077733967278,0.08887801218370184,68061,6129,609908,9
trace,3,58,-0.033694443661376305,0.008412099750396801,0.990190251206803,0.9182564255100524,0.9998233449631233,0.9573055563386237,0.009812099750396801,0.08887801218370184,67917,6046,610132,12
trace,3,59,-0.03535234616465299,0.008826110669242132,0.9897772445649038,0.9152348532755674,0.999794229610359,0.955647653835347,0.010226110669242132,0.08887801218370184,68023,6300,609770,14
trace,3,60,-0.033867981790591806,0.008491603095570127,0.9901116852881937,0.9178995876788746,0.9998678996036988,0.9571320182094082,0.009891603095570127,0.08887801218370184,68121,6093,609884,9
trace,3,61,-0.034565052365221005,0.008652494375602613,0.9899511011540201,0.9165689959449811,0.9999265148954307,0.956434947634779,0.010052494375602614,0.08887801218370184,68036,6193,609873,5
trace,3,62,-0.034210395138480454,0.008592594469237816,0.9900106580849706,0.9173927636436866,0.9997220230867142,0.9567896048615195,0.009992594469237816,0.08887801218370184,68332,6153,609603,19
trace,3,63,-0.03372556232624746,0.008463341976272777,0.990138874806439,0.918186225657877,0.9998386860243438,0.9572744376737525,0.009863341976272777,0.08887801218370184,68179,6075,609842,11
trace,3,64,-0.03385734306896693,0.008517132589480727,0.9900866533271773,0.9179188731485712,0.9998682361208714,0.9571426569310331,0.009917132589480727,0.08887801218370184,68295,6107,609696,9
