dataset,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
wget,2,50,1.0,auto,0.9024,0.9130434782608695,0.84,0.875,0.08,0.003534882165114328,21,2,23,4
wget,2,50,1.0,0.01,0.9024,0.9130434782608695,0.84,0.875,0.08,-0.1307758368442079,21,2,23,4
wget,2,50,1.0,0.05,0.9024,0.9130434782608695,0.84,0.875,0.08,-0.026198200640685787,21,2,23,4
wget,2,50,1.0,0.1,0.9024,0.9130434782608695,0.84,0.875,0.08,-0.014732307118206278,21,2,23,4
wget,2,100,auto,auto,0.9056,0.9545454545454546,0.84,0.8936170212765957,0.04,0.020154872326959006,21,1,24,4
wget,2,100,auto,0.01,0.9056,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.12325828912859493,21,1,24,4
wget,2,100,auto,0.05,0.9056,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.004610851977827957,21,1,24,4
wget,2,100,auto,0.1,0.9056,0.9545454545454546,0.84,0.8936170212765957,0.04,0.0042429291834605865,21,1,24,4
wget,2,100,0.5,auto,0.8928,0.7857142857142857,0.88,0.8301886792452831,0.24,-0.00012533851080487324,22,6,19,3
wget,2,100,0.5,0.01,0.8928,0.7857142857142857,0.88,0.8301886792452831,0.24,-0.14569641610071227,22,6,19,3
wget,2,100,0.5,0.05,0.8928,0.7857142857142857,0.88,0.8301886792452831,0.24,-0.03982174745105482,22,6,19,3
wget,2,100,0.5,0.1,0.8928,0.7857142857142857,0.88,0.8301886792452831,0.24,-0.029954161161411696,22,6,19,3
wget,2,100,1.0,auto,0.9056,0.9545454545454546,0.84,0.8936170212765957,0.04,0.020154872326959006,21,1,24,4
wget,2,100,1.0,0.01,0.9056,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.12325828912859493,21,1,24,4
wget,2,100,1.0,0.05,0.9056,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.004610851977827957,21,1,24,4
wget,2,100,1.0,0.1,0.9056,0.9545454545454546,0.84,0.8936170212765957,0.04,0.0042429291834605865,21,1,24,4
wget,2,200,auto,auto,0.9168000000000001,0.9545454545454546,0.84,0.8936170212765957,0.04,0.00959062165742286,21,1,24,4
wget,2,200,auto,0.01,0.9168000000000001,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.12453304596991799,21,1,24,4
wget,2,200,auto,0.05,0.9168000000000001,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.009118760581325547,21,1,24,4
wget,2,200,auto,0.1,0.9168000000000001,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.0044143605905730965,21,1,24,4
wget,2,200,0.5,auto,0.8864000000000001,1.0,0.72,0.8372093023255814,0.0,0.035720293977766326,18,0,25,7
wget,2,200,0.5,0.01,0.8864000000000001,1.0,0.72,0.8372093023255814,0.0,-0.09909183285260292,18,0,25,7
wget,2,200,0.5,0.05,0.8864000000000001,1.0,0.72,0.8372093023255814,0.0,-0.006170770366210054,18,0,25,7
wget,2,200,0.5,0.1,0.8864000000000001,1.0,0.72,0.8372093023255814,0.0,0.0033956573388141953,18,0,25,7
wget,2,200,1.0,auto,0.9168000000000001,0.9545454545454546,0.84,0.8936170212765957,0.04,0.00959062165742286,21,1,24,4
wget,2,200,1.0,0.01,0.9168000000000001,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.12453304596991799,21,1,24,4
wget,2,200,1.0,0.05,0.9168000000000001,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.009118760581325547,21,1,24,4
wget,2,200,1.0,0.1,0.9168000000000001,0.9545454545454546,0.84,0.8936170212765957,0.04,-0.0044143605905730965,21,1,24,4
wget,3,50,auto,auto,0.9216,1.0,0.8,0.8888888888888888,0.0,0.020101905407956755,20,0,25,5
wget,3,50,auto,0.01,0.9216,1.0,0.8,0.8888888888888888,0.0,-0.12269375920815195,20,0,25,5
