dataset,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
trace,0,100,auto,0.05,0.9060965844635317,0.5404615787676943,0.9998531269277091,0.7016516787343142,0.09396270581684715,-0.00573486761578379,68076,57883,558138,10
trace,0,100,auto,0.1,0.9060965844635317,0.5404615787676943,0.9998531269277091,0.7016516787343142,0.09396270581684715,0.05438540711036477,68076,57883,558138,10
trace,0,100,0.5,auto,0.9901721010018688,0.9154003388827627,0.9997796903915636,0.9557312141974615,0.010212314190587659,0.1060937067284845,68071,6291,609730,15
trace,0,100,0.5,0.01,0.9901721010018688,0.9154003388827627,0.9997796903915636,0.9557312141974615,0.010212314190587659,0.015945612931509645,68071,6291,609730,15
trace,0,100,0.5,0.05,0.9901721010018688,0.9154003388827627,0.9997796903915636,0.9557312141974615,0.010212314190587659,0.11416271946293893,68071,6291,609730,15
trace,0,100,0.5,0.1,0.9901721010018688,0.9154003388827627,0.9997796903915636,0.9557312141974615,0.010212314190587659,0.1495519967465464,68071,6291,609730,15
trace,0,100,1.0,auto,0.9927721210628164,0.9319168161220103,0.9997650030843345,0.9646493633484259,0.008072776739754001,0.10903140757501062,68070,4973,611048,16
trace,0,100,1.0,0.01,0.9927721210628164,0.9319168161220103,0.9997650030843345,0.9646493633484259,0.008072776739754001,0.042179892504758065,68070,4973,611048,16
trace,0,100,1.0,0.05,0.9927721210628164,0.9319168161220103,0.9997650030843345,0.9646493633484259,0.008072776739754001,0.13022933788347701,68070,4973,611048,16
trace,0,100,1.0,0.1,0.9927721210628164,0.9319168161220103,0.9997650030843345,0.9646493633484259,0.008072776739754001,0.16388021576410777,68070,4973,611048,16
trace,0,200,auto,auto,0.889166285262659,0.4992044463019585,0.9999559380783127,0.6659493615169048,0.11087284362059086,0.08778547087685307,68083,68300,547721,3
trace,0,200,auto,0.01,0.889166285262659,0.4992044463019585,0.9999559380783127,0.6659493615169048,0.11087284362059086,-0.05796414135153072,68083,68300,547721,3
trace,0,200,auto,0.05,0.889166285262659,0.4992044463019585,0.9999559380783127,0.6659493615169048,0.11087284362059086,-0.009764212014734985,68083,68300,547721,3
trace,0,200,auto,0.1,0.889166285262659,0.4992044463019585,0.9999559380783127,0.6659493615169048,0.11087284362059086,0.03362200715720409,68083,68300,547721,3
trace,0,200,0.5,auto,0.9896138297832767,0.9134227017162486,0.9997796903915636,0.954652230925117,0.010473668917131073,0.10762745548350994,68071,6452,609569,15
