dataset,n_estimators,max_samples,contamination,auc_mean,auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,fpr_mean,fpr_std
trace,200,1.0,auto,0.9919350487126419,0.0020702130106138514,0.9320849715493174,0.01614376754394724,0.9997796903915634,1.0385494539104637e-05,0.9646884850127911,0.008638194989683297,0.008079919353398666,0.002050317308680852
trace,200,auto,0.01,0.9126159350407196,0.024879470269055615,0.5653122832724626,0.07464166223340551,0.9999441882325295,3.506546540054749e-05,0.7199931696176554,0.060053328886517904,0.08762818150679928,0.0250592365494088
trace,200,auto,0.05,0.9126159350407196,0.024879470269055615,0.5653122832724626,0.07464166223340551,0.9999441882325295,3.506546540054749e-05,0.7199931696176554,0.060053328886517904,0.08762818150679928,0.0250592365494088
trace,200,auto,0.1,0.9126159350407196,0.024879470269055615,0.5653122832724626,0.07464166223340551,0.9999441882325295,3.506546540054749e-05,0.7199931696176554,0.060053328886517904,0.08762818150679928,0.0250592365494088
trace,200,auto,auto,0.9126159350407196,0.024879470269055615,0.5653122832724626,0.07464166223340551,0.9999441882325295,3.506546540054749e-05,0.7199931696176554,0.060053328886517904,0.08762818150679928,0.0250592365494088
wget,50,0.5,0.01,0.88064,0.02546464215338593,0.8679319070623418,0.08776274503298635,0.8240000000000001,0.06066300355241238,0.841329111140432,0.03257716973733514,0.136,0.09633275663033837
wget,50,0.5,0.05,0.88064,0.02546464215338593,0.8679319070623418,0.08776274503298635,0.8240000000000001,0.06066300355241238,0.841329111140432,0.03257716973733514,0.136,0.09633275663033837
wget,50,0.5,0.1,0.88064,0.02546464215338593,0.8679319070623418,0.08776274503298635,0.8240000000000001,0.06066300355241238,0.841329111140432,0.03257716973733514,0.136,0.09633275663033837
wget,50,0.5,auto,0.88064,0.02546464215338593,0.8679319070623418,0.08776274503298635,0.8240000000000001,0.06066300355241238,0.841329111140432,0.03257716973733514,0.136,0.09633275663033837
wget,50,1.0,0.01,0.89664,0.017030795636141034,0.9271974402409185,0.040803166360007866,0.8,0.028284271247461877,0.8584207009970193,0.02427396634581967,0.064,0.03577708763999663
wget,50,1.0,0.05,0.89664,0.017030795636141034,0.9271974402409185,0.040803166360007866,0.8,0.028284271247461877,0.8584207009970193,0.02427396634581967,0.064,0.03577708763999663
