variant,seed,n_estimators,max_samples,contamination,auc,precision,recall,f1,fpr,threshold,tp,fp,tn,fn
gaussian_edge0,2,500,auto,0.1,0.8464,0.8,0.8,0.8,0.2,0.012997213970229793,20,5,20,5
gaussian_edge0,2,500,0.5,auto,0.8208,0.9444444444444444,0.68,0.7906976744186046,0.04,0.05056036172144218,17,1,24,8
gaussian_edge0,2,500,0.5,0.01,0.8208,0.9444444444444444,0.68,0.7906976744186046,0.04,-0.09279083572140112,17,1,24,8
gaussian_edge0,2,500,0.5,0.05,0.8208,0.9444444444444444,0.68,0.7906976744186046,0.04,0.0054828671301012655,17,1,24,8
gaussian_edge0,2,500,0.5,0.1,0.8208,0.9444444444444444,0.68,0.7906976744186046,0.04,0.024614372594556566,17,1,24,8
gaussian_edge0,2,500,1.0,auto,0.8464,0.8,0.8,0.8,0.2,0.016551899402999615,20,5,20,5
gaussian_edge0,2,500,1.0,0.01,0.8464,0.8,0.8,0.8,0.2,-0.14932218068537328,20,5,20,5
gaussian_edge0,2,500,1.0,0.05,0.8464,0.8,0.8,0.8,0.2,-0.012376254630142025,20,5,20,5
gaussian_edge0,2,500,1.0,0.1,0.8464,0.8,0.8,0.8,0.2,0.012997213970229793,20,5,20,5
gaussian_edge0,3,100,auto,auto,0.9168,0.875,0.84,0.8571428571428571,0.12,0.004248011146825714,21,3,22,4
gaussian_edge0,3,100,auto,0.01,0.9168,0.875,0.84,0.8571428571428571,0.12,-0.14113108515289896,21,3,22,4
gaussian_edge0,3,100,auto,0.05,0.9168,0.875,0.84,0.8571428571428571,0.12,-0.024701041309875493,21,3,22,4
gaussian_edge0,3,100,auto,0.1,0.9168,0.875,0.84,0.8571428571428571,0.12,-0.012606106594341804,21,3,22,4
gaussian_edge0,3,100,0.5,auto,0.9072,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.003424988060952816,22,5,20,3
gaussian_edge0,3,100,0.5,0.01,0.9072,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.1714164745956096,22,5,20,3
gaussian_edge0,3,100,0.5,0.05,0.9072,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.042387382524950334,22,5,20,3
gaussian_edge0,3,100,0.5,0.1,0.9072,0.8148148148148148,0.88,0.8461538461538461,0.2,-0.031740864318252515,22,5,20,3
gaussian_edge0,3,100,1.0,auto,0.9168,0.875,0.84,0.8571428571428571,0.12,0.004248011146825714,21,3,22,4
gaussian_edge0,3,100,1.0,0.01,0.9168,0.875,0.84,0.8571428571428571,0.12,-0.14113108515289896,21,3,22,4
gaussian_edge0,3,100,1.0,0.05,0.9168,0.875,0.84,0.8571428571428571,0.12,-0.024701041309875493,21,3,22,4
gaussian_edge0,3,100,1.0,0.1,0.9168,0.875,0.84,0.8571428571428571,0.12,-0.012606106594341804,21,3,22,4
gaussian_edge0,3,200,auto,auto,0.9136000000000001,0.9090909090909091,0.8,0.851063829787234,0.08,0.016831446320177745,20,2,23,5
gaussian_edge0,3,200,auto,0.01,0.9136000000000001,0.9090909090909091,0.8,0.851063829787234,0.08,-0.11680387537603643,20,2,23,5
gaussian_edge0,3,200,auto,0.05,0.9136000000000001,0.9090909090909091,0.8,0.851063829787234,0.08,-0.008165735016140596,20,2,23,5
gaussian_edge0,3,200,auto,0.1,0.9136000000000001,0.9090909090909091,0.8,0.851063829787234,0.08,0.002237583956943623,20,2,23,5
gaussian_edge0,3,200,0.5,auto,0.9072,0.7931034482758621,0.92,0.8518518518518519,0.24,-0.001330023236018496,23,6,19,2
gaussian_edge0,3,200,0.5,0.01,0.9072,0.7931034482758621,0.92,0.8518518518518519,0.24,-0.15580953548079635,23,6,19,2
gaussian_edge0,3,200,0.5,0.05,0.9072,0.7931034482758621,0.92,0.8518518518518519,0.24,-0.040828912079593604,23,6,19,2
gaussian_edge0,3,200,0.5,0.1,0.9072,0.7931034482758621,0.92,0.8518518518518519,0.24,-0.03608151743332455,23,6,19,2
gaussian_edge0,3,200,1.0,auto,0.9136000000000001,0.9090909090909091,0.8,0.851063829787234,0.08,0.016831446320177745,20,2,23,5
gaussian_edge0,3,200,1.0,0.01,0.9136000000000001,0.9090909090909091,0.8,0.851063829787234,0.08,-0.11680387537603643,20,2,23,5
gaussian_edge0,3,200,1.0,0.05,0.9136000000000001,0.9090909090909091,0.8,0.851063829787234,0.08,-0.008165735016140596,20,2,23,5
gaussian_edge0,3,200,1.0,0.1,0.9136000000000001,0.9090909090909091,0.8,0.851063829787234,0.08,0.002237583956943623,20,2,23,5
gaussian_edge0,3,500,auto,auto,0.9232,0.8214285714285714,0.92,0.8679245283018868,0.2,-0.012288989579807619,23,5,20,2
gaussian_edge0,3,500,auto,0.01,0.9232,0.8214285714285714,0.92,0.8679245283018868,0.2,-0.15190804244378797,23,5,20,2
gaussian_edge0,3,500,auto,0.05,0.9232,0.8214285714285714,0.92,0.8679245283018868,0.2,-0.038892009764934454,23,5,20,2
gaussian_edge0,3,500,auto,0.1,0.9232,0.8214285714285714,0.92,0.8679245283018868,0.2,-0.021411422036405225,23,5,20,2
gaussian_edge0,3,500,0.5,auto,0.9072,0.8695652173913043,0.8,0.8333333333333334,0.12,0.017430104998159,20,3,22,5
gaussian_edge0,3,500,0.5,0.01,0.9072,0.8695652173913043,0.8,0.8333333333333334,0.12,-0.1305231591867313,20,3,22,5
gaussian_edge0,3,500,0.5,0.05,0.9072,0.8695652173913043,0.8,0.8333333333333334,0.12,-0.01437711832035693,20,3,22,5
gaussian_edge0,3,500,0.5,0.1,0.9072,0.8695652173913043,0.8,0.8333333333333334,0.12,-0.008561430722250685,20,3,22,5
gaussian_edge0,3,500,1.0,auto,0.9232,0.8214285714285714,0.92,0.8679245283018868,0.2,-0.012288989579807619,23,5,20,2
gaussian_edge0,3,500,1.0,0.01,0.9232,0.8214285714285714,0.92,0.8679245283018868,0.2,-0.15190804244378797,23,5,20,2
gaussian_edge0,3,500,1.0,0.05,0.9232,0.8214285714285714,0.92,0.8679245283018868,0.2,-0.038892009764934454,23,5,20,2
gaussian_edge0,3,500,1.0,0.1,0.9232,0.8214285714285714,0.92,0.8679245283018868,0.2,-0.021411422036405225,23,5,20,2
gaussian_edge0,4,100,auto,auto,0.8575999999999999,0.6857142857142857,0.96,0.8,0.44,-0.04203191739114437,24,11,14,1
gaussian_edge0,4,100,auto,0.01,0.8575999999999999,0.6857142857142857,0.96,0.8,0.44,-0.21763179508022984,24,11,14,1
gaussian_edge0,4,100,auto,0.05,0.8575999999999999,0.6857142857142857,0.96,0.8,0.44,-0.06772581996805666,24,11,14,1
gaussian_edge0,4,100,auto,0.1,0.8575999999999999,0.6857142857142857,0.96,0.8,0.44,-0.053120054245835935,24,11,14,1
gaussian_edge0,4,100,0.5,auto,0.8192,0.696969696969697,0.92,0.7931034482758621,0.4,-0.017168645314118047,23,10,15,2
gaussian_edge0,4,100,0.5,0.01,0.8192,0.696969696969697,0.92,0.7931034482758621,0.4,-0.17857590257880135,23,10,15,2
gaussian_edge0,4,100,0.5,0.05,0.8192,0.696969696969697,0.92,0.7931034482758621,0.4,-0.07284497034385001,23,10,15,2
gaussian_edge0,4,100,0.5,0.1,0.8192,0.696969696969697,0.92,0.7931034482758621,0.4,-0.052390200857812375,23,10,15,2
gaussian_edge0,4,100,1.0,auto,0.8575999999999999,0.6857142857142857,0.96,0.8,0.44,-0.04203191739114437,24,11,14,1
gaussian_edge0,4,100,1.0,0.01,0.8575999999999999,0.6857142857142857,0.96,0.8,0.44,-0.21763179508022984,24,11,14,1
gaussian_edge0,4,100,1.0,0.05,0.8575999999999999,0.6857142857142857,0.96,0.8,0.44,-0.06772581996805666,24,11,14,1
gaussian_edge0,4,100,1.0,0.1,0.8575999999999999,0.6857142857142857,0.96,0.8,0.44,-0.053120054245835935,24,11,14,1
gaussian_edge0,4,200,auto,auto,0.848,0.696969696969697,0.92,0.7931034482758621,0.4,-0.016234988855414634,23,10,15,2
gaussian_edge0,4,200,auto,0.01,0.848,0.696969696969697,0.92,0.7931034482758621,0.4,-0.1891273979903173,23,10,15,2
gaussian_edge0,4,200,auto,0.05,0.848,0.696969696969697,0.92,0.7931034482758621,0.4,-0.047917154254245364,23,10,15,2
gaussian_edge0,4,200,auto,0.1,0.848,0.696969696969697,0.92,0.7931034482758621,0.4,-0.025686190888576932,23,10,15,2
gaussian_edge0,4,200,0.5,auto,0.8272,0.696969696969697,0.92,0.7931034482758621,0.4,-0.008629571347100518,23,10,15,2
gaussian_edge0,4,200,0.5,0.01,0.8272,0.696969696969697,0.92,0.7931034482758621,0.4,-0.16246703423486653,23,10,15,2
gaussian_edge0,4,200,0.5,0.05,0.8272,0.696969696969697,0.92,0.7931034482758621,0.4,-0.05677998191745748,23,10,15,2
gaussian_edge0,4,200,0.5,0.1,0.8272,0.696969696969697,0.92,0.7931034482758621,0.4,-0.04265303581543711,23,10,15,2
gaussian_edge0,4,200,1.0,auto,0.848,0.696969696969697,0.92,0.7931034482758621,0.4,-0.016234988855414634,23,10,15,2
gaussian_edge0,4,200,1.0,0.01,0.848,0.696969696969697,0.92,0.7931034482758621,0.4,-0.1891273979903173,23,10,15,2
gaussian_edge0,4,200,1.0,0.05,0.848,0.696969696969697,0.92,0.7931034482758621,0.4,-0.047917154254245364,23,10,15,2
gaussian_edge0,4,200,1.0,0.1,0.848,0.696969696969697,0.92,0.7931034482758621,0.4,-0.025686190888576932,23,10,15,2
gaussian_edge0,4,500,auto,auto,0.8576,0.9,0.72,0.8,0.08,0.03796854740854139,18,2,23,7
gaussian_edge0,4,500,auto,0.01,0.8576,0.9,0.72,0.8,0.08,-0.1262271734689725,18,2,23,7
gaussian_edge0,4,500,auto,0.05,0.8576,0.9,0.72,0.8,0.08,0.010336413506777387,18,2,23,7
gaussian_edge0,4,500,auto,0.1,0.8576,0.9,0.72,0.8,0.08,0.025950918433119474,18,2,23,7
gaussian_edge0,4,500,0.5,auto,0.832,0.696969696969697,0.92,0.7931034482758621,0.4,-0.005939307091341217,23,10,15,2
gaussian_edge0,4,500,0.5,0.01,0.832,0.696969696969697,0.92,0.7931034482758621,0.4,-0.14693789255751327,23,10,15,2
gaussian_edge0,4,500,0.5,0.05,0.832,0.696969696969697,0.92,0.7931034482758621,0.4,-0.05753270631424995,23,10,15,2
gaussian_edge0,4,500,0.5,0.1,0.832,0.696969696969697,0.92,0.7931034482758621,0.4,-0.04207893054086981,23,10,15,2
gaussian_edge0,4,500,1.0,auto,0.8576,0.9,0.72,0.8,0.08,0.03796854740854139,18,2,23,7
gaussian_edge0,4,500,1.0,0.01,0.8576,0.9,0.72,0.8,0.08,-0.1262271734689725,18,2,23,7
gaussian_edge0,4,500,1.0,0.05,0.8576,0.9,0.72,0.8,0.08,0.010336413506777387,18,2,23,7
gaussian_edge0,4,500,1.0,0.1,0.8576,0.9,0.72,0.8,0.08,0.025950918433119474,18,2,23,7
gaussian_edge1,0,100,auto,auto,0.8944,1.0,0.72,0.8372093023255814,0.0,0.028190026705705917,18,0,25,7
gaussian_edge1,0,100,auto,0.01,0.8944,1.0,0.72,0.8372093023255814,0.0,-0.11483782623135219,18,0,25,7
gaussian_edge1,0,100,auto,0.05,0.8944,1.0,0.72,0.8372093023255814,0.0,-0.016191858601749987,18,0,25,7
gaussian_edge1,0,100,auto,0.1,0.8944,1.0,0.72,0.8372093023255814,0.0,0.01796178388315761,18,0,25,7
gaussian_edge1,0,100,0.5,auto,0.8896,1.0,0.76,0.8636363636363636,0.0,0.035052130787984526,19,0,25,6
gaussian_edge1,0,100,0.5,0.01,0.8896,1.0,0.76,0.8636363636363636,0.0,-0.1113111004458166,19,0,25,6
gaussian_edge1,0,100,0.5,0.05,0.8896,1.0,0.76,0.8636363636363636,0.0,-0.015571427942189242,19,0,25,6
gaussian_edge1,0,100,0.5,0.1,0.8896,1.0,0.76,0.8636363636363636,0.0,0.00576036713187611,19,0,25,6
gaussian_edge1,0,100,1.0,auto,0.8944,1.0,0.72,0.8372093023255814,0.0,0.028190026705705917,18,0,25,7
gaussian_edge1,0,100,1.0,0.01,0.8944,1.0,0.72,0.8372093023255814,0.0,-0.11483782623135219,18,0,25,7
gaussian_edge1,0,100,1.0,0.05,0.8944,1.0,0.72,0.8372093023255814,0.0,-0.016191858601749987,18,0,25,7
gaussian_edge1,0,100,1.0,0.1,0.8944,1.0,0.72,0.8372093023255814,0.0,0.01796178388315761,18,0,25,7
gaussian_edge1,0,200,auto,auto,0.9007999999999999,1.0,0.72,0.8372093023255814,0.0,0.034987954620465334,18,0,25,7
gaussian_edge1,0,200,auto,0.01,0.9007999999999999,1.0,0.72,0.8372093023255814,0.0,-0.11359243945562303,18,0,25,7
gaussian_edge1,0,200,auto,0.05,0.9007999999999999,1.0,0.72,0.8372093023255814,0.0,0.002056329925321787,18,0,25,7
gaussian_edge1,0,200,auto,0.1,0.9007999999999999,1.0,0.72,0.8372093023255814,0.0,0.023246790133521045,18,0,25,7
gaussian_edge1,0,200,0.5,auto,0.8944,1.0,0.76,0.8636363636363636,0.0,0.028098832096374537,19,0,25,6
gaussian_edge1,0,200,0.5,0.01,0.8944,1.0,0.76,0.8636363636363636,0.0,-0.11908509389380795,19,0,25,6
gaussian_edge1,0,200,0.5,0.05,0.8944,1.0,0.76,0.8636363636363636,0.0,-0.0186191223097526,19,0,25,6
gaussian_edge1,0,200,0.5,0.1,0.8944,1.0,0.76,0.8636363636363636,0.0,0.0029144051914795632,19,0,25,6
gaussian_edge1,0,200,1.0,auto,0.9007999999999999,1.0,0.72,0.8372093023255814,0.0,0.034987954620465334,18,0,25,7
gaussian_edge1,0,200,1.0,0.01,0.9007999999999999,1.0,0.72,0.8372093023255814,0.0,-0.11359243945562303,18,0,25,7
gaussian_edge1,0,200,1.0,0.05,0.9007999999999999,1.0,0.72,0.8372093023255814,0.0,0.002056329925321787,18,0,25,7
gaussian_edge1,0,200,1.0,0.1,0.9007999999999999,1.0,0.72,0.8372093023255814,0.0,0.023246790133521045,18,0,25,7
gaussian_edge1,0,500,auto,auto,0.8976000000000001,0.95,0.76,0.8444444444444444,0.04,0.012640904626119998,19,1,24,6
